unit,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR_HAB,B5N,DK0	27300.00 	26500.00 	26200.00 	25600.00 	25300.00 	24600.00 	24900.00 	24400.00 	23700.00 	22500.00 	21600.00 	20800.00 	20400.00 	19900.00 	18900.00 
EUR_HAB,B5N,DK01	30900.00 	30200.00 	29700.00 	29100.00 	28700.00 	27800.00 	27900.00 	27100.00 	26400.00 	25100.00 	24100.00 	23300.00 	23000.00 	22500.00 	21300.00 
EUR_HAB,B5N,DK02	26100.00 	25300.00 	25000.00 	24500.00 	24200.00 	23600.00 	23900.00 	23600.00 	23200.00 	22200.00 	21300.00 	20600.00 	20200.00 	19700.00 	18700.00 
EUR_HAB,B5N,DK03	25000.00 	24200.00 	24000.00 	23500.00 	23200.00 	22700.00 	23200.00 	22600.00 	22000.00 	20800.00 	20000.00 	19200.00 	18700.00 	18300.00 	17400.00 
EUR_HAB,B5N,DK04	26300.00 	25500.00 	25300.00 	24800.00 	24500.00 	23900.00 	24400.00 	23900.00 	23300.00 	21900.00 	21000.00 	20200.00 	19600.00 	19300.00 	18100.00 
EUR_HAB,B5N,DK05	25100.00 	24300.00 	24000.00 	23400.00 	22900.00 	22200.00 	22700.00 	22300.00 	21500.00 	20200.00 	19400.00 	18600.00 	18200.00 	17800.00 	16700.00 
EUR_HAB,B5N,EE	8500.00 	8100.00 	8100.00 	6900.00 	6200.00 	6200.00 	7200.00 	6600.00 	5300.00 	4400.00 	3800.00 	3400.00 	3000.00 	2700.00 	2400.00 
EUR_HAB,B5N,EE0	: 	: 	8100.00 	6900.00 	6200.00 	6200.00 	7200.00 	6600.00 	5300.00 	4400.00 	3800.00 	3400.00 	3000.00 	2700.00 	2400.00 
EUR_HAB,B5N,EE00	: 	: 	8100.00 	6900.00 	6200.00 	6200.00 	7200.00 	6600.00 	5300.00 	4400.00 	3800.00 	3400.00 	3000.00 	2700.00 	2400.00 
EUR_HAB,B5N,EL	: 	10300.00 	11000.00 	11900.00 	13200.00 	14300.00 	14400.00 	14000.00 	13100.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL1	: 	: 	9900.00 	10400.00 	11300.00 	12200.00 	12500.00 	11800.00 	11100.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL11	: 	: 	8700.00 	9200.00 	10200.00 	11100.00 	11100.00 	10900.00 	10900.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL12	: 	: 	10300.00 	10700.00 	11600.00 	12400.00 	12600.00 	12100.00 	11100.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL13	: 	: 	10900.00 	11000.00 	11700.00 	12500.00 	12400.00 	11800.00 	10800.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL14	: 	: 	9700.00 	10200.00 	11200.00 	12500.00 	13300.00 	11800.00 	11100.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL2	: 	: 	9400.00 	10400.00 	11500.00 	12300.00 	12200.00 	11800.00 	11000.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL21	: 	: 	10000.00 	10600.00 	11700.00 	12200.00 	11900.00 	11400.00 	10400.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL22	: 	: 	11000.00 	11600.00 	12700.00 	12600.00 	12600.00 	12600.00 	11600.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL23	: 	: 	9000.00 	9700.00 	10800.00 	11800.00 	12200.00 	11300.00 	10700.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL24	: 	: 	8700.00 	10400.00 	11700.00 	12400.00 	12400.00 	12100.00 	11200.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL25	: 	: 	9800.00 	10500.00 	11800.00 	12600.00 	12300.00 	12000.00 	11200.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL3	: 	12600.00 	13500.00 	14500.00 	16100.00 	17500.00 	17500.00 	17300.00 	16200.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL30	: 	12600.00 	13500.00 	14500.00 	16100.00 	17500.00 	17500.00 	17300.00 	16200.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL4	: 	9500.00 	10200.00 	11200.00 	12400.00 	13000.00 	13100.00 	12900.00 	12100.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL41	: 	9700.00 	10400.00 	11300.00 	12700.00 	12900.00 	12700.00 	12300.00 	11200.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL42	: 	11100.00 	12000.00 	13700.00 	14700.00 	13700.00 	13600.00 	13200.00 	12300.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL43	: 	8600.00 	9200.00 	9900.00 	11000.00 	12600.00 	12900.00 	13000.00 	12200.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL5	: 	9100.00 	9700.00 	10300.00 	11500.00 	12400.00 	12400.00 	12000.00 	11200.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL51	: 	8000.00 	8700.00 	9100.00 	10300.00 	11300.00 	11300.00 	11100.00 	11200.00 	: 	: 	: 	: 	: 	: 
EUR_HAB,B5N,EL52	: 	9300.00 	9900.00 	10600.00 	11700.00 	12700.00 	12800.00 	12400.00 	11400.00 	: 	: 	: 	: 	: 	: 
