"unit";"sex";"age";"geo";"X2015"
"NR";"M";"Y0-14";"BG32";53445
"NR";"M";"Y15-24";"BG32";43476
"NR";"M";"Y25-64";"BG32";229830
"NR";"M";"Y65-74";"BG32";47663
"NR";"M";"YGE75";"BG32";27590
"NR";"T";"TOTAL";"BG32";825536
"NR";"T";"Y0-14";"BG32";103826
"NR";"T";"Y15-24";"BG32";84004
"NR";"T";"Y25-64";"BG32";453376
"NR";"T";"Y65-74";"BG32";110794
"NR";"T";"YGE75";"BG32";73536
"NR";"F";"TOTAL";"BG33";485314
"NR";"F";"Y0-14";"BG33";67166
"NR";"F";"Y15-24";"BG33";46146
"NR";"F";"Y25-64";"BG33";267033
"NR";"F";"Y65-74";"BG33";60906
"NR";"F";"YGE75";"BG33";44063
"NR";"M";"TOTAL";"BG33";464643
"NR";"M";"Y0-14";"BG33";71161
"NR";"M";"Y15-24";"BG33";49878
"NR";"M";"Y25-64";"BG33";270963
"NR";"M";"Y65-74";"BG33";46122
"NR";"M";"YGE75";"BG33";26519
"NR";"T";"TOTAL";"BG33";949957
"NR";"T";"Y0-14";"BG33";138327
"NR";"T";"Y15-24";"BG33";96024
"NR";"T";"Y25-64";"BG33";537996
"NR";"T";"Y65-74";"BG33";107028
"NR";"T";"YGE75";"BG33";70582
"NR";"F";"TOTAL";"BG34";542653
"NR";"F";"Y0-14";"BG34";79106
"NR";"F";"Y15-24";"BG34";50575
"NR";"F";"Y25-64";"BG34";290814
"NR";"F";"Y65-74";"BG34";67488
"NR";"F";"YGE75";"BG34";54670
"NR";"M";"TOTAL";"BG34";515862
"NR";"M";"Y0-14";"BG34";83556
"NR";"M";"Y15-24";"BG34";52940
"NR";"M";"Y25-64";"BG34";295842
"NR";"M";"Y65-74";"BG34";50792
"NR";"M";"YGE75";"BG34";32732
"NR";"T";"TOTAL";"BG34";1058515
"NR";"T";"Y0-14";"BG34";162662
"NR";"T";"Y15-24";"BG34";103515
"NR";"T";"Y25-64";"BG34";586656
"NR";"T";"Y65-74";"BG34";118280
"NR";"T";"YGE75";"BG34";87402
"NR";"F";"TOTAL";"BG4";1842094
"NR";"F";"Y0-14";"BG4";237012
"NR";"F";"Y15-24";"BG4";175846
"NR";"F";"Y25-64";"BG4";1024474
"NR";"F";"Y65-74";"BG4";219714
"NR";"F";"YGE75";"BG4";185048
"NR";"M";"TOTAL";"BG4";1728954
"NR";"M";"Y0-14";"BG4";251060
"NR";"M";"Y15-24";"BG4";185645
"NR";"M";"Y25-64";"BG4";1022088
"NR";"M";"Y65-74";"BG4";162951
"NR";"M";"YGE75";"BG4";107210
"NR";"T";"TOTAL";"BG4";3571048
"NR";"T";"Y0-14";"BG4";488072
"NR";"T";"Y15-24";"BG4";361491
"NR";"T";"Y25-64";"BG4";2046562
"NR";"T";"Y65-74";"BG4";382665
"NR";"T";"YGE75";"BG4";292258
"NR";"F";"TOTAL";"BG41";1100038
"NR";"F";"Y0-14";"BG41";139077
"NR";"F";"Y15-24";"BG41";108298
"NR";"F";"Y25-64";"BG41";619683
