"unit";"nace_r2";"isco08";"age";"sex";"geo";"X2014"
"INDIC";"B-F";"OC5";"TOTAL";"M";"BE";16.02
"INDIC";"B-F";"OC5";"TOTAL";"M";"BG";2.87
"INDIC";"B-F";"OC5";"TOTAL";"M";"CY";7.34
"INDIC";"B-F";"OC5";"TOTAL";"M";"CZ";6.72
"INDIC";"B-F";"OC5";"TOTAL";"M";"DE";17.76
"INDIC";"B-F";"OC5";"TOTAL";"M";"DK";18.96
"INDIC";"B-F";"OC5";"TOTAL";"M";"EE";5.24
"INDIC";"B-F";"OC5";"TOTAL";"M";"EL";NA
"INDIC";"B-F";"OC5";"TOTAL";"M";"ES";11.97
"INDIC";"B-F";"OC5";"TOTAL";"M";"FI";14.36
"INDIC";"B-F";"OC5";"TOTAL";"M";"FR";13.2
"INDIC";"B-F";"OC5";"TOTAL";"M";"HR";NA
"INDIC";"B-F";"OC5";"TOTAL";"M";"HU";6.83
"INDIC";"B-F";"OC5";"TOTAL";"M";"IE";15.53
"INDIC";"B-F";"OC5";"TOTAL";"M";"IT";15.57
"INDIC";"B-F";"OC5";"TOTAL";"M";"LT";5.6
"INDIC";"B-F";"OC5";"TOTAL";"M";"LU";14.46
"INDIC";"B-F";"OC5";"TOTAL";"M";"LV";4.75
"INDIC";"B-F";"OC5";"TOTAL";"M";"MT";9.04
"INDIC";"B-F";"OC5";"TOTAL";"M";"NL";14.66
"INDIC";"B-F";"OC5";"TOTAL";"M";"PL";6.69
"INDIC";"B-F";"OC5";"TOTAL";"M";"PT";7.2
"INDIC";"B-F";"OC5";"TOTAL";"M";"RO";3.44
"INDIC";"B-F";"OC5";"TOTAL";"M";"SE";14.91
"INDIC";"B-F";"OC5";"TOTAL";"M";"SI";9.95
"INDIC";"B-F";"OC5";"TOTAL";"M";"SK";6.61
"INDIC";"B-F";"OC5";"TOTAL";"M";"UK";12.4
"INDIC";"B-F";"OC5";"TOTAL";"T";"AT";11.96
"INDIC";"B-F";"OC5";"TOTAL";"T";"BE";15.07
"INDIC";"B-F";"OC5";"TOTAL";"T";"BG";2.73
"INDIC";"B-F";"OC5";"TOTAL";"T";"CY";NA
"INDIC";"B-F";"OC5";"TOTAL";"T";"CZ";5.5
"INDIC";"B-F";"OC5";"TOTAL";"T";"DE";11.79
"INDIC";"B-F";"OC5";"TOTAL";"T";"DK";15.18
"INDIC";"B-F";"OC5";"TOTAL";"T";"EE";5.12
"INDIC";"B-F";"OC5";"TOTAL";"T";"EL";NA
"INDIC";"B-F";"OC5";"TOTAL";"T";"ES";9.8
"INDIC";"B-F";"OC5";"TOTAL";"T";"FI";13.66
"INDIC";"B-F";"OC5";"TOTAL";"T";"FR";11.62
"INDIC";"B-F";"OC5";"TOTAL";"T";"HR";NA
"INDIC";"B-F";"OC5";"TOTAL";"T";"HU";6.71
